运算类型,优先级,关联性,运算符
圆括号,20,n/a,（...）
成员访问,19,从左到右,... . ...
需计算的成员访问,19,从左到右,... [...]
new（带参数列表）,19,n/a,new ... (...)
函数调用,19,从左到右,... (...)
new（无参数列表）,18,从右到左,new ...
后置递增（运算符在后）,17,n/a,... ++
后置递减（运算符在后）,17,n/a,... - -
逻辑非,16,从右到左,! ...
按位非,16,从右到左,~ ...
一元加法,16,从右到左,+ ...
一元减法,16,从右到左,- ...
前置递增,16,从右到左,++ ...
typeof,16,从右到左,typeof ...
void,16,从右到左,void ...
delete,16,从右到左,delete ...
await,16,从右到左,await ...
幂,15,从右到左,... ** ...
乘法,14,从左到右,... * ...
除法,14,从左到右,... / ...
取模,14,从左到右,... % ...
加法,13,从左到右,... + ...
减法,13,从左到右,... - ...
按位左移,12,从左到右,... << ...
按位右移,12,从左到右,... >> ...
无符号右移,12,从左到右,... >>> ...
小于,11,从左到右,... < ...
小于等于,11,从左到右,... ≤ ...
大于,11,从左到右,... > ...
大于等于,11,从左到右,... ≥ ...
in,11,从左到右,... in ...
instanceof,11,从左到右,... inatanceof ...
等号,10,从左到右,... == ...
非等号,10,从左到右,... ! = ...
全等号,10,从左到右,... === ...
非全等号,10,从左到右," ... ! == ..."
按位与,9,从左到右,... & ...
按位异或,8,从左到右,... ^ ...
按位或,7,从左到右,... | ...
逻辑与,6,从左到右,... && ...
逻辑或,5,从左到右,... || ...
条件运算符,4,从左到右,... ? ... : ...
赋值,3,从右到左,... = ...\... += ...\... -= ...\...*= ...\... /= ...\... %= ...\... << = ...\... >> = ...\... >>> = ...\... &= ...\... ^= ...\... |= ...
yield,2,从右到左,yield ...
yield*,2,从右到左,yield* ...
展开运算符,1,n/a," . . .   ..."
逗号,0,从左到右,"... , ..."
,,,
